Date,Open,High,Low,Close,Adj Close
2022-02-14,9259.81,9288.33,9160.18,9236.86,9236.86
2022-02-11,9455.67,9497.77,9235.65,9271.8,9271.8
2022-02-10,9553.85,9628.53,9410.11,9450.72,9450.72
2022-02-09,9539.55,9629.44,9539.55,9623.84,9623.84
2022-02-08,9397.85,9505.43,9367.39,9484.95,9484.95
2022-02-07,9451.76,9485.55,9380.04,9405.84,9405.84
2022-02-04,9403.37,9522.52,9337.81,9440.58,9440.58
2022-02-03,9512.15,9527.81,9375.78,9390.57,9390.57
2022-02-02,9576.7,9637.31,9530.76,9624.89,9624.89
2022-02-01,9478.4,9543.08,9403.3,9534.95,9534.95
2022-01-31,9294.26,9472.55,9257.74,9469.92,9469.92
2022-01-28,9093.63,9295.43,9002.1,9294.21,9294.21
2022-01-27,9185.6,9286.11,9036.83,9072.24,9072.24
2022-01-26,9243.42,9337.02,9026.7,9120.75,9120.75
2022-01-25,9155.69,9248.57,8989.1,9134.33,9134.33
2022-01-24,9134.01,9261.56,8854.41,9246.84,9246.84
2022-01-21,9375.27,9423.62,9216.12,9221.28,9221.28
2022-01-20,9534.44,9649.12,9389.01,9398.96,9398.96
2022-01-19,9619.02,9667.84,9497.89,9503.14,9503.14
2022-01-18,9711.5,9711.5,9578.47,9595.93,9595.93
2022-01-14,9723.4,9780.23,9674.68,9775.53,9775.53
2022-01-13,9923.6,9945.45,9749.25,9767.35,9767.35
2022-01-12,9912.07,9953.78,9866.34,9907.38,9907.38
2022-01-11,9787.31,9880.62,9722.6,9879.39,9879.39
2022-01-10,9758.38,9795.33,9605.42,9789.72,9789.72
2022-01-07,9847.08,9868.62,9773.9,9803.85,9803.85
2022-01-06,9836.34,9902.52,9791.01,9841.92,9841.92
2022-01-05,10033.87,10053.81,9848.38,9850.7,9850.7
2022-01-04,10067.74,10097.3,10004.61,10044.75,10044.75
2022-01-03,10011.81,10050.55,9970.14,10050.41,10050.41
2021-12-31,10005.61,10029.96,9985.79,9986.7,9986.7
2021-12-30,10044.99,10075.65,10005.82,10012.51,10012.51
2021-12-29,10032.35,10064.4,10010.43,10041.61,10041.61
2021-12-28,10046.67,10070.63,10014.48,10027.53,10027.53
2021-12-27,9917.84,10038.25,9917.84,10037.67,10037.67
